species,left_wing,right_wing,left_foretibia,right_foretibia,left_hindtibia,right_hindtibia,thorax,avg_left/right_wing,avg_left/right_foretibia,,ratiowing,ratioforetibia,ratiothorax,,ratiowing,ratioforetibia,ratiothorax,,ratiowing,ratioforetibia,ratiothorax
Dana,1.432,1.438,0.483,0.527,0.709,0.714,0.941,1.435,0.505,,,,,,,,,,,,
Dana,1.47,1.494,0.521,0.524,0.721,0.738,0.923,1.482,0.5225,,,,,,,,,,,,
Dana,1.523,1.506,0.516,0.55,0.755,0.749,0.987,1.5145,0.533,,,,,,,,,,,,
Dana,1.448,1.449,0.516,0.492,0.712,0.705,0.891,1.4485,0.504,,,,,,,,,,,,
Dana,1.543,1.551,0.538,0.557,0.781,0.774,0.993,1.547,0.5475,,,,,,,,,,,,
Dana,1.401,1.386,0.478,0.477,0.655,0.635,0.869,1.3935,0.4775,,,,,,,,,,,,
Dana,1.541,1.552,0.555,0.559,0.783,0.758,0.987,1.5465,0.557,,,,,,,,,,,,
Dvir,1.391,1.396,0.551,0.56,0.741,0.76,1.086,1.3935,0.5555,,,,,,,,,,,,
Dvir,1.567,1.565,0.623,0.628,0.797,0.811,1.243,1.566,0.6255,,,,,,,,,,,,
Dvir,1.632,1.653,0.667,0.635,0.837,0.841,1.301,1.6425,0.651,,,,,,,,,,,,
Dvir,1.617,1.645,0.667,0.627,0.849,0.849,1.301,1.631,0.647,,,,,,,,,,,,
Dvir,1.493,1.515,0.597,0.566,0.764,0.785,1.242,1.504,0.5815,,,,,,,,,,,,
Dvir,1.487,1.508,0.653,0.6,0.756,0.752,1.252,1.4975,0.6265,,,,,,,,,,,,
Dvir,1.578,1.565,0.623,0.638,0.79,0.793,1.242,1.5715,0.6305,,,,,,,,,,,,
Dvir,1.499,1.471,0.621,0.609,0.789,0.795,1.198,1.485,0.615,,,,,,,,,,,,
Dvir,1.572,1.624,0.607,0.606,0.764,0.791,1.251,1.598,0.6065,,,,,,,,,,,,
Dvir,1.508,1.493,0.624,0.601,0.751,0.807,1.176,1.5005,0.6125,,,,,,,,,,,,
Dvir,1.591,1.538,0.625,0.599,0.804,0.809,1.232,1.5645,0.612,,,,,,,,,,,,
Dvir,1.537,1.526,0.639,0.633,0.812,0.832,1.261,1.5315,0.636,,,,,,,,,,,,
Dvir,1.529,1.516,0.602,0.609,0.768,0.805,1.155,1.5225,0.6055,,,,,,,,,,,,
Dvir,1.504,1.463,0.569,0.567,0.768,0.753,1.214,1.4835,0.568,,,,,,,,,,,,
Dvir,1.376,1.363,0.57,0.576,0.707,0.717,1.108,1.3695,0.573,,,,,,,,,,,,
Dvir,1.671,1.678,0.621,0.646,0.842,0.871,1.34,1.6745,0.6335,,,,,,,,,,,,
Dvir,1.576,1.567,0.639,0.642,0.81,0.848,1.273,1.5715,0.6405,,,,,,,,,,,,
Dvir,1.488,1.482,0.617,0.615,0.812,0.796,1.222,1.485,0.616,,,,,,,,,,,,
Dvir,1.523,1.5,0.624,0.625,0.803,0.821,1.212,1.5115,0.6245,,,,,,,,,,,,
Dvir,1.563,1.538,0.626,0.618,0.807,0.837,1.258,1.5505,0.622,,,,,,,,,,,,
Dvir,1.508,1.491,0.6,0.579,0.83,0.785,1.243,1.4995,0.5895,,,,,,,,,,,,
Dvir,1.661,1.629,0.678,0.648,0.824,0.827,1.315,1.645,0.663,,,,,,,,,,,,
Dvir,1.441,1.463,0.617,0.593,0.791,0.814,1.141,1.452,0.605,,,,,,,,,,,,
Dvir,1.671,1.68,0.669,0.672,0.883,0.849,1.352,1.6755,0.6705,,,,,,,,,,,,
Dvir,1.552,1.563,0.645,0.648,0.786,0.794,1.266,1.5575,0.6465,,,,,,,,,,,,
Dvir,1.503,1.479,0.605,0.601,0.817,0.764,1.18,1.491,0.603,,,,,,,,,,,,
Dvir,1.464,1.497,0.628,0.619,0.79,0.761,1.247,1.4805,0.6235,,,,,,,,,,,,
Dvir,1.514,1.566,0.637,0.637,0.82,0.819,1.207,1.54,0.637,,,,,,,,,,,,
Dvir,1.457,1.478,0.598,0.578,0.781,0.778,1.213,1.4675,0.588,,,,,,,,,,,,
Dvir,1.494,1.479,0.602,0.584,0.813,0.791,1.154,1.4865,0.593,,,,,,,,,,,,
Dvir,1.641,1.616,0.64,0.657,0.824,0.857,1.303,1.6285,0.6485,,,,,,,,,,,,
Dvir,1.501,1.48,0.576,0.58,0.753,0.742,1.201,1.4905,0.578,,,,,,,,,,,,
Dvir,1.457,1.494,0.619,0.602,0.761,0.78,1.187,1.4755,0.6105,,,,,,,,,,,,
Dvir,1.653,1.681,0.68,0.662,0.821,0.827,1.314,1.667,0.671,,,,,,,,,,,,
